house ID,price,collected time,post code,address
{4C4EDFFF-3ED5-1854-E050-A8C063054F34},845000,08/03/2017 00:00,E16 1BS,"ADRIATIC APARTMENTS, 20  FLAT 45  WESTERN GATEWAY"
{4C4EDFFF-3ED6-1854-E050-A8C063054F34},222000,15/02/2017 00:00,E6 5NP,29    CYPRUS PLACE
{4C4EDFFF-3ED8-1854-E050-A8C063054F34},365000,28/02/2017 00:00,E15 2SG,"BURFORD WHARF APARTMENTS, 3  APARTMENT 13  CAM ROAD"
{4C4EDFFF-3ED9-1854-E050-A8C063054F34},430000,24/02/2017 00:00,E11 1ES,323    HAINAULT ROAD
{4C4EDFFF-3EDB-1854-E050-A8C063054F34},526000,22/02/2017 00:00,E1 5EN,"CARILLON COURT, 41  20  GREATOREX STREET"
{47844C80-651B-8986-E050-A8C063056488},555000,16/01/2017 00:00,SE16 6SH,AMHERST HOUSE  FLAT 6  WOLFE CRESCENT
{47844C80-651F-8986-E050-A8C063056488},800000,06/01/2017 00:00,SE11 6BY,231  FLAT 3  KENNINGTON ROAD
{47844C80-6521-8986-E050-A8C063056488},630000,10/01/2017 00:00,SW2 2QP,45  FLAT 3  TRINITY RISE
{47844C80-6523-8986-E050-A8C063056488},498500,03/01/2017 00:00,SW11 3ET,MCCARTHY COURT  FLAT 62  BANBURY STREET
{47844C80-6525-8986-E050-A8C063056488},975000,17/01/2017 00:00,SW15 2UJ,92    WEST HILL
{47844C80-6528-8986-E050-A8C063056488},415000,20/01/2017 00:00,SE11 5DB,HORNBY HOUSE  FLAT 43  CLAYTON STREET
{47844C80-652C-8986-E050-A8C063056488},401000,05/01/2017 00:00,SW19 2AU,37    KIMBLE ROAD
{47844C80-652F-8986-E050-A8C063056488},770000,17/01/2017 00:00,SE3 7AN,21    HEATHWAY
{47844C80-6530-8986-E050-A8C063056488},210000,16/01/2017 00:00,SE14 5RU,"HIND HOUSE, 4  FLAT 7  MYERS LANE"
{47844C80-6534-8986-E050-A8C063056488},625000,20/01/2017 00:00,SE21 8EX,67    PARK HALL ROAD
{47844C80-6539-8986-E050-A8C063056488},475000,20/01/2017 00:00,SW18 4PL,20    AVENING TERRACE
{47844C80-653B-8986-E050-A8C063056488},820000,12/01/2017 00:00,SW4 7RY,172    FERNDALE ROAD
{47844C80-6541-8986-E050-A8C063056488},640000,25/01/2017 00:00,SW9 0NU,134    CRANWORTH GARDENS
{47844C80-6545-8986-E050-A8C063056488},505000,20/01/2017 00:00,SW12 9SU,3    LARCH CLOSE
{47844C80-654E-8986-E050-A8C063056488},180000,10/01/2017 00:00,SE9 3JG,JAMES NEWMAN COURT  FLAT 2  GREAT HARRY DRIVE
{47844C80-654F-8986-E050-A8C063056488},327000,13/01/2017 00:00,SE9 5RJ,80    THE VISTA
{47844C80-6550-8986-E050-A8C063056488},396000,06/01/2017 00:00,SW12 8BA,26    VERRAN ROAD
{4C4EDFFF-3BC5-1854-E050-A8C063054F34},600000,09/03/2017 00:00,E4 9EB,12    UNDERWOOD ROAD
{4C4EDFFF-3BCA-1854-E050-A8C063054F34},253000,10/03/2017 00:00,E17 8RB,RINGWOOD HOUSE  12  RINGWOOD ROAD
{4C4EDFFF-3BCE-1854-E050-A8C063054F34},735000,17/03/2017 00:00,E17 8JY,38    ST BARNABAS ROAD
{4C4EDFFF-3BD1-1854-E050-A8C063054F34},260000,09/03/2017 00:00,E6 6DB,ATHELSTAN COURT  FLAT 3  EDWIN AVENUE
{4C4EDFFF-3BD2-1854-E050-A8C063054F34},755000,06/03/2017 00:00,E4 7HW,11    CARBIS CLOSE
{4C4EDFFF-3BD8-1854-E050-A8C063054F34},368000,22/03/2017 00:00,E7 9BJ,7    DEAN STREET
{4C4EDFFF-3BD9-1854-E050-A8C063054F34},690000,07/02/2017 00:00,E9 6EQ,48    SUTTON SQUARE
{4C4EDFFF-3BDA-1854-E050-A8C063054F34},365000,03/03/2017 00:00,E11 2HQ,CEDAR COURT  FLAT 14  GROSVENOR ROAD
{4C4EDFFF-3BDC-1854-E050-A8C063054F34},280000,17/02/2017 00:00,E4 9RX,103A    THE AVENUE
{4C4EDFFF-3BDD-1854-E050-A8C063054F34},985000,10/03/2017 00:00,E8 1DA,5B    GRAHAM ROAD
{4C4EDFFF-3BE2-1854-E050-A8C063054F34},445000,13/02/2017 00:00,N9 9LR,62    SOUTH EASTERN AVENUE
{4C4EDFFF-3BE3-1854-E050-A8C063054F34},560000,06/03/2017 00:00,E10 5RQ,114    ST GEORGES ROAD
{4C4EDFFF-3BE4-1854-E050-A8C063054F34},470000,23/02/2017 00:00,E16 3TE,25    FULMER ROAD
{4C4EDFFF-3BE5-1854-E050-A8C063054F34},450000,17/02/2017 00:00,N13 5RT,2    GREENWOOD GARDENS
{4C4EDFFF-3D4B-1854-E050-A8C063054F34},795000,28/02/2017 00:00,E14 8AY,"DUNDEE WHARF, 100  FLAT 86  THREE COLT STREET"
{4C4EDFFF-3D4C-1854-E050-A8C063054F34},215000,13/02/2017 00:00,E4 8LL,"KINGSWOOD COURT, 175  FLAT 6  CHINGFORD MOUNT ROAD"
{4C4EDFFF-3D4F-1854-E050-A8C063054F34},385000,14/03/2017 00:00,E14 0BY,2    STONEYARD LANE
{4C4EDFFF-3D50-1854-E050-A8C063054F34},800000,12/01/2017 00:00,E1 6UL,"VANBURGH HOUSE, 40  FLAT 12  FOLGATE STREET"
